movieId,title,genres
1,Hidden MirrorReturns (2000),Comedy|Animation
2,Beyond River (1983),Comedy
3,Found MoonBegins (1978),Crime|Animation
4,Beyond Empire (2024),Comedy
5,Ancient FireReturns (1996),Fantasy|Romance
6,Silent OceanReturns (1974),Mystery
7,Ancient Clock (1985),Crime|Fantasy
8,Lost SoulIII (1990),Horror|Crime
9,Final HeartLegacy (1994),Fantasy
10,Under WorldForever (1972),Action|Fantasy
11,The KingdomReturns (2017),Sci-Fi
12,Final ForestIII (2003),Adventure|Comedy
13,Above MoonBegins (1995),Crime|Animation
14,The ShadowLegacy (2000),Thriller
15,Broken Star2 (1985),Documentary|Animation
16,Last River (1996),Comedy|Adventure
17,Into StarRising (2013),Documentary
18,Rising Island (1981),Comedy|Adventure
19,Last Mountain3 (2009),Action
20,Fallen Soul (1997),Drama|Musical
21,Frozen Desert2 (2022),Fantasy|Documentary
22,Into TowerReturns (1999),Action|Drama
23,Dark ShadowForever (2006),Mystery|Thriller
24,The IceReborn (2016),Documentary
25,Dark KingdomUnleashed (2001),Fantasy
26,A Road (1970),Fantasy
27,A RiverBegins (1977),Sci-Fi|Documentary
28,Silent EchoReturns (2003),Comedy
29,Burning SoulChronicles (1998),Documentary|Animation
30,Broken Mountain (1979),Action|Romance
31,Found LightII (2004),Documentary
32,Final SunII (2006),Drama|Romance
33,Broken IslandIII (2019),Western|Thriller
34,Dark DesertChronicles (1983),Action|Mystery
35,Under RiverForever (2023),Fantasy
36,Lost Ocean (1996),Comedy|Mystery
37,Final Clock (1987),Comedy|Drama
38,Beyond KingdomRising (2000),Action
39,Shattered SoulOrigins (1979),Western
40,Silent MoonForever (1993),Sci-Fi
41,Final Heart (1989),Comedy|Documentary
42,Shattered MountainII (2022),Musical|Comedy
43,Distant Fire (1974),Crime|Comedy
44,Rising ClockChronicles (1990),Comedy|Animation
45,Into Light (1970),Romance|Fantasy
46,Beyond Sky (1990),Action
47,Broken Sun (2021),Romance|Musical
48,Burning StarChronicles (1972),Sci-Fi
49,Found MirrorRising (2009),Comedy
50,Secret Desert (2024),Sci-Fi
51,Above Mountain (2004),Adventure
52,Into MountainBegins (1978),Thriller|Musical
53,A EchoRising (1972),Thriller|Horror
54,Frozen MindReborn (1987),Action
55,Silent Wind (1971),Action|Musical
56,Under ClockReborn (2003),Action|Thriller
