userId,movieId,rating,timestamp
100,1,5,1524343888
56,1,2.5,1735272220
85,1,4,1476950356
52,1,4,1453321486
114,1,4,1472135455
20,1,4,1733961758
5,1,3,1580580129
110,1,5,1704029710
26,1,4.5,1465747036
93,1,3.5,1621852427
19,1,4,1442906936
55,1,4,1462654911
25,1,3.5,1563414436
88,1,3,1731439396
108,1,2,1493855445
84,1,4,1648675688
34,1,2.5,1569853213
70,1,4,1651563275
83,1,2,1610907912
72,1,4,1427356926
27,1,2.5,1731332501
2,1,3,1608793182
32,1,2.5,1617560991
40,1,2.5,1729508366
11,1,5,1708324684
43,1,4.5,1516133953
10,1,2.5,1607961855
21,1,4,1674003358
71,1,4.5,1446084294
15,1,4,1579443615
97,1,3,1468349123
41,1,4,1730537138
99,1,5,1424776274
96,1,3.5,1682466203
60,1,4,1633647808
101,1,4,1665013929
46,1,2.5,1566530512
44,1,4.5,1630799743
115,1,4.5,1487670060
29,1,3,1604407711
74,1,2,1547383504
45,1,4,1655559198
64,1,3,1530436642
107,1,2.5,1567768911
38,1,5,1577330770
106,1,2,1704258413
62,1,4.5,1518895426
67,1,3.5,1515382581
78,1,2,1692336074
18,1,3.5,1693471058
94,1,3,1456555043
63,1,3,1549826781
102,1,4,1524708662
13,1,5,1510585967
9,1,3.5,1522537206
12,1,2.5,1698125519
36,1,2,1595998736
116,1,2.5,1483269299
111,1,2,1572186685
65,1,4,1662492688
105,1,5,1588181925
47,1,2,1499845029
68,1,3.5,1452375641
80,1,3,1443051161
30,1,4.5,1573041394
79,1,3.5,1443147452
4,1,2,1532546204
17,1,2.5,1665489273
109,1,2.5,1579435539
75,1,4,1563353297
120,2,2.5,1651412959
108,2,3,1425767067
16,2,4,1615985898
34,2,5,1443086771
74,2,2,1680902863
44,2,4.5,1430603969
105,2,4,1442379200
11,2,2,1529882460
86,2,3.5,1544087568
89,2,4,1451130714
28,2,3.5,1707260066
96,2,3.5,1731901574
48,2,2,1597261422
45,2,4.5,1624449792
51,2,2.5,1605618779
100,2,4.5,1647793026
1,2,3,1716057817
57,2,5,1429429007
106,2,2,1438098023
92,2,2.5,1459350845
8,2,2,1663356875
58,2,4.5,1525415016
25,2,4,1470651988
104,2,4,1600913406
71,2,4.5,1531996023
36,2,4,1579143541
19,2,4.5,1593038243
21,2,4.5,1570002335
17,2,5,1423342548
38,2,2,1472923820
76,2,2.5,1456196081
15,2,4.5,1423024555
68,2,3.5,1483454465
18,2,5,1669238654
65,2,3.5,1619557884
41,2,4,1677478586
119,2,4.5,1521180480
35,2,3,1716326096
107,2,2.5,1484392507
116,2,2,1660935495
22,2,2,1451748686
26,2,4,1553448490
103,2,4,1439880471
6,2,3.5,1472309173
60,2,5,1615225328
24,2,2.5,1529109483
64,2,3.5,1571555585
46,2,4.5,1530391221
49,2,3.5,1634232856
14,2,2.5,1695602970
50,3,3,1699798870
94,3,4.5,1525832397
43,3,2.5,1636203385
49,3,5,1640755082
32,3,4.5,1580636371
11,3,5,1563583543
16,3,2,1562393073
67,3,3.5,1515090448
10,3,2,1658458833
86,3,3.5,1495194376
115,3,2.5,1656125443
20,3,5,1442775225
31,3,5,1672975510
83,3,3,1699255584
41,3,4,1513703634
108,3,2.5,1438126904
70,3,2,1704768027
97,3,2,1708919671
37,3,2.5,1503205095
26,3,4.5,1460305395
8,3,2.5,1692385069
60,3,3,1450315427
24,3,2.5,1466387511
82,3,5,1610302867
85,3,2.5,1699170733
15,3,2.5,1669481074
117,3,4,1525327989
87,3,5,1658918660
16,4,2.5,1522102588
99,4,2,1650527464
18,4,5,1711369729
97,4,2,1568823389
26,4,2.5,1524584918
35,4,2.5,1468265608
21,4,3.5,1620568947
64,4,5,1500993209
78,4,5,1725513002
93,4,4,1732088716
92,4,4,1556484776
53,4,4,1465149538
39,4,5,1560796216
84,4,2,1716159140
2,4,3.5,1571161442
55,4,2.5,1457992841
77,4,5,1433771811
10,4,3.5,1665178909
67,4,3.5,1659738567
118,4,5,1463571507
57,4,4,1556599376
28,4,5,1594313042
8,4,3,1475997031
58,4,5,1465377126
108,4,4,1521681152
70,4,2.5,1579788208
1,4,3,1658169644
87,4,5,1700655236
37,4,4,1653229618
107,4,2.5,1580055236
63,4,4,1565861955
13,4,4.5,1498685996
7,4,3,1503781942
42,4,3.5,1638736287
66,4,5,1470082798
49,4,4,1483624697
94,4,2.5,1532900547
95,4,3,1637945170
91,4,4,1658978095
73,4,4.5,1718519158
31,4,5,1714827775
88,4,2.5,1728008919
43,4,4.5,1562207006
51,4,4.5,1570093861
48,4,5,1556882279
86,4,4,1437903069
47,4,3.5,1704127510
15,4,3,1684449692
82,4,3,1666800483
29,4,4.5,1446919247
61,4,5,1446702717
6,4,4,1642866906
19,4,4.5,1624777562
76,4,3.5,1666587362
46,4,2.5,1447651125
23,4,3,1483702537
85,4,5,1592693219
90,4,5,1466386689
83,4,5,1567773929
79,4,4,1543385008
5,4,2.5,1652315121
96,4,2.5,1536650704
112,4,3.5,1655130306
104,4,4,1570206751
98,4,2.5,1629781978
41,4,2,1508838638
33,4,2.5,1615341779
25,4,5,1448221944
